porti|携带
伯母|onklino
脖子|kolo
驳斥|refuti
驳船|bargho
捕获|kapti
捕鱼|fishkapti
捕捉|kapti
哺乳|mamnutri\nsuchigi
哺乳动物|mamulo\nmambesto
补偿|kompensi\nkovri
补充|replenigi
补钉|flikajho
补给|provizi
补寄|alsendi
补救|rebonigi
补品|toniko
补缺|plenigi vakuon
补选|alelekti
补药|toniko
补遗|suplemento
补语|komplemento
补助|subvencio
不|ne
不安|maltrankvileco
不变资本|konstanta kapitalo
不但|ne nur
不道德|malmorala\nmalvirta\nmalnobla
不得不|vole nevole\ndevigite
不等价交换|neegalvalora intershango
不定式|infinitivo
不动产|nemovebla posedajho
不断|kontinua\nkonstanta\nsenchesa\nseninterrompa
不符|nekonforme
不甘心|nevolonte
不恭|nerespekte
不公|maljuste
不够|nesufiche
不顾|spite
不结盟国家|nealiancita lando
不解|ne kompreni
不仅|ne nur
不景气|depresio
不久|baldaw\nnelonge
不拘仪式|senceremonie
不倦|senlace
不可思议|neimageble
不理|malatenti\nignori
不利|malfavora
不料|neatendite
不满|malkontente
不明|neklare
不能|ne povi
不平等条约|neegala traktato
不人道|malhumana
不如|malpli...ol
不懈|senshancelighe\nsenlace
不幸|malfeliche
不朽|senmorta
不锈钢|rustimuna shtalo
不值得|malinda
不足|manki\nmalsufichi
不足为怪|neniommirige
布|tolo\nshtofo
布达拉宫|Potala-palaco
布尔什维主义|bolshevismo
布告|proklamo\nanonco
布谷乌|kukolo
布景|dekoracio
布雷|mini
布料|shtofo
布施|almozdoni
布置|aranghi
步兵|piedsoldato\ninfanteriano
步伐|pasho
步枪|fusilo
步哨|gardostaranto\nsentinelo
步行|piediri
步骤|pasho
簿记|librotenado
部|ministerio\nmioistrejo\ndepartemento
部长|ministro
部队|trupo\narmeo
部分|parto
部落|buluo tribo
部门|bumen fak\ndepartemento
部署|dispozicio
擦|vishi\nfroti
擦肥皂|sapumi
猜|diveni
猜测|konjekti\nsupozi
猜忌|suspekti kaj jhaluzi
猜想|supozi\nkonjekti
裁缝|tajloro
裁剪|tajli
裁减|redukti\nmalpligi
裁决|jughi
裁军|malarmi
裁判|jughi
裁判员|jughisto\njughanto
材料|materialo
才干|kapablec\nkompetenteco\ntalento
才能|kapableco\nkompetenteco\ntalento
财宝|trezoro
财产|havjho\nposedajho\nproprajho\nproprietajho
财产权|proprieto
财阀|plutokrato\nfinanca magnato
财富|richajho
财贸|financo kaj komerco
财迷|avarulo\nmonavidulo
财务|financaj aferoj
财政|financo
财主|richulo
踩|surpashi\ntreti
踩水|akvotreti
采|pluki\nkolekti
采访|intervjui
采购|acheti
采集|kolekti
采掘|fosi\nserchfosi
采矿|ercoekspluati\nminekspluati
采纳|akcepti
采取|alpreni
采石匠|shtonhakisto
采用|apliki\nuzi\nadopti
采摘|pluki
彩虹|chielarko
菜单|manghkarto\nmenuo
菜花|fiorbrasiko
菜牛|viandbovo
菜盘|plado
菜市|legombazaro
菜园|legomghardeno
餐车|manghvagono\nrestoracivagono
餐具|manghilo
餐厅|restoracio
参观|viziti
参加|partopreni\nalighi
参军|alighi al la armeo
参考|referenci\nkonsulti
参谋部|stabo
参谋长|stabestro
参谋总长|chefo de la ghenerala stabo
参议员|senatano
参议院|senato
参与|eomiksighi\ninterveni\npartopreni
参赞|konsilanto
参战|partopreni en milito
参照|referenci
蚕|silkrawpo
蚕豆|fabo
蚕丝|silko
残暴|kruela\nsovagha\nbrutala
残废|invalido\nkriplulo\nhandikapulo
残酷|kruela
残缺|manka\nnekompleta
残忍|senkora\nkruela\nsenkompata
残杀|murdi\nmasakri\nbuchi
残肢|stumpo
惭愧|honti
惨白|pala
惨败|fiasko
惨剧|tragedio
灿烂|brila
苍白|pala
苍天|firmamento
苍蝇|musho
舱|kajuto
仓促|haste
仓皇|panike
仓库|tenejo\nstaplo
藏|kashi
藏身|kashighi(sin kashi)
藏书室|biblioteko
操场|ludejo\nsportejo\nekzercejo
操练|trejni\nekzerci
操心|zorgi
操行|konduto
操纵|direkti\nregi\nmanipuli
槽|trogo
草|herbo\ngreso
草案|projekto
草地|gazono\nherbejo\nherbaro\nherbokovro
草稿|malneto\nskizo
草料|fojno\nfuragho\ngreso
草率|malseioze
草帽|pajla chapelo
草拟|projekti
草坪|gazono
草图|skizo
草鞋|pajla sandalo
草药|drogherboj
草鱼|herbokarpo
草原|stepo\nherbejo
草纸|higiena papero
草莓|frago
厕所|necesejo\nlatrino
策反|instigi perfidon
策划|plani\nkovi
策略|taktiko
侧面|flanko
侧面图|profilo
侧影|silueto\nprofilo
册|ekzemplero
册子|kajero\nlibro
测定|determini
测量|mezuri
测验|ekzameni\ntesti
层|tavolo
插话|epizodo\nintermeti(vorton)
插曲|epizodo
插入语|parentezo
插头|kontaktilo
插图|ilustrajho
插销|bolto\nriglilo
插秧|transplanti rizplantidojn
插嘴|interveni\nintermeti
叉|forko
茶|teo
茶杯|tetaso
茶炊|samovaro
茶道|teceremonio
茶缸子|taso
茶馆|tesalono\ntetrinkejo
茶壶|tekrucho
茶花|kamelio
茶话会|tekunveno
茶会|tekunveno
茶树|tearbo
茶水|teo
茶托|subtaso
茶叶|teo\ntefolio
茶油|teoleo
茶园|teplantejo\nteghardeno
搽粉|pudri
察看|pririgardi
岔路口|vojforko\nvojkrucigho
差别|diferenco
差错|eraro
差异|diferenco
诧异|miri\nsurprizighi
拆毁|malkonstrui
柴|brulligno
柴油|dizeloleo\nmazuto
柴油机|dizelo
豺|shakalo
蝉|cikado
缠绕|chirkawvolvi
铲除|forshoveli\nelradikigi
铲土机|skrapmashino\nterskrapilo\nshovelmashino
铲子|shovelilo
产地|produktejo
产妇|akushintino
产科|obstetriko
产量|produktokvanto
产品|produkt(ajh)o
产生|estigi\nnaski\nprodukti
产物|produktajho
产业|industrio
产业工人|industria laboristo
产业界|industria rondo
产值|produktovaloro
阐明|klarigi\nekspliki
阐述|trakti\nekspliki
颤动|vibri
颤抖|tremi
颤音|trilo
昌盛|prospero
猖狂|furioza\nfreneza
场|sceno\nplaco\nspaco
场地|kampo\ntereno
场合|kazo
场所|ejo\nloko
尝|gustumi
尝试|provi
常委会|konstanta komitato
长|longa
长城|Granda Muro
长出|elkreski\nelighi
长凳|benko
长度|longeco
长方形|rektangulo
长工|jardungito
长号|trombono
长颈鹿|ghirafo
长毛绒|plusho
长眠|eterne ripozi
长袍|robo
长跑|longdistanca kuro
长篇小说|romano
长绒棉|kotono kun longaj lanugoj
长寿|longa vivo
长统袜|shtrumpo
长途|longa distanco
长征|Longa Marsho
偿还|repagi
肠|intesto
肠穿孔|intesta perforado
肠系膜|krispo
肠炎|enterito
厂长|fabrikestro
厂房|fabrika domo
厂子|fabriko
畅达地|fiue
畅销|debito
唱|kanti
唱机|gramofono
唱片|disko
倡导|iniciati\nproponi
倡议|proponi
超产|superplenumi produktan kvoton
超过|superi
超级|superklasa
超级大国|superpotenco
超人|superhoma
超声波探伤仪|ultrasona difekto-detektilo
超音速|supersona rapideco
超越|stumbli
超重|plipezo
抄件|duplikato\nkoplo
抄袭|plagiati
抄写|kopii\ntransskribi
钞票|bankbileto\nmonbileto\npapermono
朝臣|kortegano
朝代|dinastio
朝贡|tributi\nprezenti tributon
朝气|juneco\nvigleco
朝圣|pilgrimi
朝廷|kortego
朝霞|matenrugho
嘲笑|moki\nmokridi
潮|tajdo\nfluso
潮流|tajdo\nfluo
潮湿|humida
潮汐|tajdo\nfluso
巢|nesto
吵架|kvereli
吵闹|brui
车|charo\nveturilo\ntorni
车床|tornilo
车夫|charisto\nkochero
车祸|trafika akcidento
车间|laborejo
车库|garagho\nremizo
车辆|veturilo\nawto\ncharo\nvogonaro
车轮|rado
车厢|vagono
车闸|bremso
车站|awtostcio\nstacidomo\nfervoja stacio
车辙|radsulko\nvojsulko
扯|shiri
扯谎|mensogi
撤|eksigi\nretiri
撤回|retiri\nrevoki
撤退|retirigho\nretreto
撤职|eksigi
彻底|ghisfunde
尘土|polvo
晨曦|matenrugho
沉淀物|precipitajho\nsedimento
沉寂|silenta
沉没|droni\nmergighi
沉默|silenti
沉溺|droni
沉思|mediti
沉陷|mallevighi
沉重|peza
沉着|aplombe
沉醉|droni
陈腐|arkaika
陈规|rutino
陈旧|malnova
陈列|ekspozicii\nmontri
陈设|mebli
陈述|diri\nklarigi\nekspliki
趁机|profiti okazon
衬布|subshtofo
衬裤|kalsono
衬里|subshtofo
衬裙|subjupo
衬衫|chemizo
衬衣|chemizo
撑杆跳高|salto kun stango\nstangosalto
撑腰|subteni
称霸|superregi
称号|titolo
称呼|nomi
称盘|pesiltaso
称陀|pezilo
称赞|lawdi
称职|kompetenta
城堡|citadelo\nkastelo
城郊|antawurbo\nchirkawurbo
城门|urba pordego
城墙|urba murego
城市|urbo
橙|orangho
成本|produktokosto
成份|elemento
成功|sukceso
成果|atingo\nfrukto\ngajno\nrikolto
成绩|atingo\nsukceso
成见|antawjugho
成就|atingo\nsukceso
成立|fondi\nstarigi
成年|plenagha\nplenkreska
成全|helpi
成人|plenkreskulo
成熟|matura
成团|aglomeri
成为|farighi
成效|efiko
成心|intence
成语|proverbo
成员|membro
呈文|dokumento prezentata al superulo
呈现|prezentighi
乘|veturi\nobligi\nmultipliki
乘法|multipliko
乘方|potenco
乘客|pasaghero
乘数|multiplikanto
乘务员|konduktoro
程度|grado
程式|formulo\nformo
程序|tagordo\nprocedo\nprogramo
程序控制|programa regado
惩办|puni
惩罚|puni
诚恳|sincere
诚实|honesta
诚意|sincereco
诚挚|sincera
承办|entrepreni
承担|porti\nsin sharghi per
承认|konfesi\nrekoni\nagnoski
吃|manghi
吃醋|jhaluzi
吃惊|surprizighi
吃亏|suferi perdojn
吃奶|mamsuchi
吃水线|floslinio
吃素|vegetara
持|teni
持久|longdawra
持续|dawri\nkontinui
持有|teni\nhavi\nposedi
持重|prudenta\ndiskreta
池|lago\nbaseno
迟|malfrue
迟到|malfruighi
迟钝|inerta
迟缓|malrapida
迟误|prokrasti
迟休者|emerito
迟疑|heziti
驰|galopi
驰名|fama
驰援|kuregi al savo
耻辱|humiligo\nmalgloro\nmalhonoro
耻笑|moki
齿|dento
齿轮|dentrado
齿龈|dentkarno\ngingivo
尺寸|dimensio
尺子|liniilo
赤道|ekvatoro
赤脚|nudpieda
赤痢|disenterio
赤贫|senhava\nmizera
赤铁矿|hematito
赤卫队|Rugha Gvardio
赤眼蜂|rughokula burdo
赤字|deficito
翅膀|flugilo
斥责|riprochi
充当|servi kiel
充电|shargi
充分|plena
充公|konfiski
充军|ostracismo
充满|plena (saturita) de
冲淡|dilui
冲动|impulso
冲锋|sturmi
冲积层|aluvio
冲决|brechi
冲破|trarompi
冲突|konflikto\nkolizio
冲洗|lavi\ntralavi
虫|insekto
虫草|vegetala rawpo\nrawpa fungo
崇拜|adori\nkulti
崇高|alta\nsublima\nnobla
崇敬|estimi\nrespekti
宠爱|favori\nkaresi\ndorloti
宠儿|favorato\ndorlotato
抽打|vipi\nskurghi
抽筋|konvulsio
抽泣|plorsingulti
抽签|loti
抽水|pumpi akvon
抽穗|spikighi
抽屉|tirkesto
抽象|abstrakta
抽烟|fumi
抽噎|plorsingulti
酬报|rekompenco
酬金|honorario
酬谢|rekompenci
踌躇|heziti
稠密|densa
愁眉苦脸|malgaja mieno
筹备|prepari
仇敌|malamiko
仇恨|malamo
仇人|malamiko
丑|malbela
丑化|malbeligi
丑角|arlekeno
丑剧|farso
丑陋|malbela
丑闻|skandalo
臭虫|litcimo\ncimo
臭名昭著|famacha\nfifama
臭气|haladzo
臭味|malbonodoro
臭氧|ozono
臭鼬|mefito
初版|unua eldono
初步|unuapashe
初次|unuafoje
初等数学|elementa matematiko
初恋|unua amo
出版|aperigi\neldoni\npublikigi
出产|produkti
出场|surscenighi
出道|montvojo
出发|ekiri
出工|iri al laboro
出汗|shviti
出家|farighimonahho (aw monahhino)
出嫁|edzinighi
出境|forlasi la landon
出口|elirejo\neksporti
出路|eliro\nelirejo
出卖|vendi\nperfidi
出毛病|perturbighi
出名|famighi
出纳员|kasisto
出品|produktajho
出奇|eksterordinara
出去|eliri
出色|elstara\nrimarkinda\nbonega
出身|deveni
出生|naskighi
出生率|naskokvanto
出示|elmontri\nmontri
出世|veni en la mondon\nnaskighi
出售|vendi
出土|elterigi\nelterighi
出席|cheesti
出现|aperi
出血|hemoragio\nsangado
出院|elhospitalighi
出征|iri al milito
出租|luigi
出租汽车|taksio
橱窗|montrofenestro
厨房|kuirejo
厨师|kuiristo
锄草|sarki
锄头|shpato
雏|ido
除草|sarki
除草醚|herbicido
除尘器|polvforigilo\nsenpolvigilo
除掉|elmini\nforigi
除法|divido
除数|dividanto
除外|escepte\nekskluzive
除夕|antawvespero (antawtago) de novjaro
储备|rezervi\nkonservi
储藏所|konservejo\ntenejo
储蓄|deponi
触|tushi
触电|ricevi elektran frapon
触动|tushi
触犯|ofendi\natenci
触觉|sento
触怒|shoki\nkolerigi
处罚|puni
处方|preskribo
处分|puni
处境|situacio
处决|kondamni al morto\nekzekuti
处理|trakti
处女|virgulino
处死|ekzekuti
处置|trakti
揣度|taksi
穿|surmeti\nsin vesti
穿戴|vesti
穿孔|bori\ntrui
穿山甲|maniso
穿堂风|trablovo
穿越|trapasi
穿针|enkudriligi
穿着|vsto
传播|diskonig\ndissemi\npropagandi\ndisvastigi
传达|komuniki
传单|cirkulero\nflugfolio
传导|kondukti
传动|transmisii
传粉|poleni
传记|biografio
传记作者|biografo
传教|prediki religion\nmisia laboro
传教士|misiiisto
传奇|legendo
传染|kontaghi\ninfekti
传染病院|kontrawepidemia hospitalo
传声器|mikrofono
传授|instrui
传说|legendo\nonidiro
传送|komuniki\ntransporti
传统|tradicio
传扬|disfamigi
传真|faksimilo
船|boato\nshipo
船舱|shipkelo\nholdo\nkajuto
船长|shipesttro\nkapitano
船队|floto
船夫|boatisto\nshipisto
船体|shipkorpo
船头|pruo
船尾|pobo\npowpo
船坞|doko
船员|shipano
喘息|spiri
串通|komploti
疮疤|cikatro
窗|fenestro
窗口|gicheto\nfenestro
窗框|fenestroframo
窗帘|kurteno
窗纱|drattolo
窗台|fenestrobreto
窗棂子|fenestrolatisto
床|lito
床单|littuko\nlitkovrilo
床头柜|noktotablo
创办|fondi\nestabli
创口|vundo
创立|fondi\nkrei
创伤|vundo
创始人|fondinto\nkreinto
创造|krei
创作|krei\nverki
吹|blovi
吹笛|fluti
吹鼓手|trumpetisto
吹口哨|fajfi
吹毛求疵|chikani
吹牛|fanfaroni
吹捧|flati
吹嘘|fanfaroni
炊具|kuoirilo
炊事员|kuiristo
锤子|martelo
垂钓|fishhoki
垂柳|plorsaliko
垂死|mortanta\nagonianta
垂危|agonii
垂线|perpendikulara linio
垂直|vertikala\nperpendikulara
春播|printempa semado
春季|printempo
春节|Printempa Festo
春天|printempo
春小麦|printempa tritiko
春游|printempa ekskurso
唇|lipo
唇膏|rughigilo\nrujho
纯|pura\nsenmiksa
纯粹|pure
纯度|pureco
纯洁|pura\nvirga\nchesta
纯利|neta profito
纯朴|honesta\nsimpla
纯收入|neta enspezo
纯熟|lerta
蠢人|malsaghulo\nstultulo\nidioto
绰号|moknomo
茨冈人|cigano
磁场|magneta kampo
磁带|sonbendo
磁化|magnetado
磁极|magneta poluso
磁石|magneto
磁铁|magneto
磁铁矿|magnetito
磁性|magnetismo
磁针|nadlo
雌|femala
雌雄同体|ambawseksa\nhermafrodita
雌雄同株|monoklina
雌雄异株|diklina
辞典|vortaro
辞退|eksigi\nmaldungi
辞职|abdiki\ndemisii
慈爱|amo\nafableco
慈悲|kompatema\nbonkora
慈善事业|filantropia entrepreno
瓷器|porcelanajho
瓷砖|kahelo
词典|vortaro
词法|morfologio
词根|radiko
词汇|leksikono
词句|vortoj kaj frazoj
词素|vortero\nmorfemo
词头|prefikso
词尾|finajho
词形|morfologio
词序|vortordo
词源|origino de vorto\netimologio
词缀|afikso
此地|tiu chi loko
此刻|tiu chi momento
此时|tiu chi tempo
此外|cetere\nkrome
刺|dorno\npiki
刺刀|bajoneto
刺耳|orel-pika
刺激|inciti\neksciti\nstimuli
刺绣|brodi
刺猬|erinaco
次|fojo
次大陆|subkontinento
次品|subnorma produktajho\nfusha laborajho
次数|fojo
次序|ordo\nvico
次要|akcesora
聪明|sagha\ninteligenta
聪颖|sagaca\ninteligenta\nsagha
匆促|haste
匆忙|haste
从产力|produktaj fortoj
从前|antawe\nen la pasinteco
从事|entreprenl\nsin okupi pri\nokupighi pri
从属|dependa
从头|de la komenco
从小|de infaneco
丛林|ghangalo\narbaro
粗|dika
粗暴|kruda\nbrutala\nmalghentila
粗糙|kruda\nmaldelikata
粗鲁|kruda\nmalghentila\nmaldelikata
粗俗|triviala\nvulgara\nmalgracia
粗心|senatente\nsenzorge\nsenpripense
粗野|kruda\nsovagha\nmalghentila\nbrutala
醋|vinagro
促进|akceli\nstimuli
篡夺|uzurpi
篡改|falsi
篡位|uzurpi la tronon
摧毁|detrui\nfrakasi\nruinigi
催促|urghi
催泪弹|larmiga obuso
催眠|luli\ndormigi\nhipnotizi\nmagnetizi
催眠曲|lulkanto
催眠术|hipnotismo
脆|fragila
村庄|vilagho
存车处|garagho\nparko\nremizo
存档|teni en la arkivo
存放|deponakvitanco
存根|stumpo\ntalono
存货|stoko
存款|deponita mono
存款户|deponanto
存在|ekzisti
磋商|interkonsilighi
搓|tordi\nsnurumi
搓板|lavtabulo
措辞|lingvajho
措施|rimedo
挫败|fiaskigi\nvenki
挫伤|vundi
挫折|malhelpo\nrepusho
错怪|maljuste riprochi\nerare kulpigi
错觉|iluzio\nerara impreso\nsenseraro
错误|eraro
搭车|petveturi
达到|atingi
达尔文主义|Darvinismo
答案|respondo\nsolvo
答复|respondi
答谢|esprimi dankon
答应|konsenti\npromesi
打|bati\nfrapi
打败|venki
打包|paki\nenpaki
打岔|interrompi
打场|drashi
打倒|faligi
打掉|debati
打赌|veti
打短工|taglabori\nlabori kiel tagdungito
打断|interrompi
打耳光|vangbati\nvangfrapi
打发|forregali\nsendi\nekspedi
打翻|renversi\nfaligi
打隔|rukti
打谷|drashi
打谷场|drashejo
打谷机|drashmashino
打滚|rulighi
打哈欠|oscedi
打火机|fajrilo
打击|ataki\nfrapi
打击乐器|frapinstrumento\nperkutinstrumento
打架|interbatali
打交道|kontaktighi kun
打搅|gheni
打结|nodi
打开|malfermi\nmalkovri
打捞|elakvigi
打雷|tondri
打猎|chasi
打埋伏|embuski
打喷嚏|terni
打破|rompli\nfrakasi
打气|pumpi aeron
打趣|sherce moki\nmoketi
打扫|purigi\nbalai
打死|batmortigi
打算|intenci\nplani
打碎|frakasi\ndispecigi\ndisrompi\ndisbati
打退|rebati\nrepushi
打消|forlasi
打眼|bori
打仗|batali\nmiliti
打针|injekti
打中|trafi
打转|turnighi\nrotacii
打字|tajpi\nmashinskribi
打字带|inkrubando
打字员|tajpisto
打盹儿|dormeti
打鼾|ronki
大|granda\ngiganta
大白菜|china brasiko
大败|fiasko
大半|plejparto
大本营|chefstabejo
大便|feki
大车|charo
大臣|ministro
大袋鼠|makropo\nkanguruo
大胆|awdaci\nkuraghi
大调|majhora
大动脉|chefa arterio\naorto
大豆|sojfabo
大度|grandanima
大多数|granda plimulto
大方|malavara
大腹便便|barelighi\nventrodikighi
大概|proksimume\nprobable
大公无私|kompleta senegoismo\nmalegoismo
大褂|kitelo
大规模|granda skalo
大合唱|hhoro
大话|shvelparolo\nbombasto
大会|kongreso\nmitingo
大伙儿|chiuj
大火|incendio\nbrulego
大家|chiuj
大卡|kilokalorio
大理石|marmoro
大丽花|dalio\ngeorgino
大量|granda nombro\ngranda kvanto\ngrandanimeco
大陆|kontinento
大陆架|kontinenta breto
大略|proksimuma\nkonciza
大麻|kanabo
大麦|hordeo
大门|pordego
大米|rizo
大民主|granda demokratio
大拇指|dikfingro
大脑|cerbo
大炮|kanono\npafilego
大气|atmosfero
大气污染|aera (atmosfera) polucio
大气压|atmosfero\natmosfera premo
大人物|granda persono
大赦|amnestio
大师|majstro
大师傅|kuiristo
大使|ambasadoro
大使馆|ambasadorejo
大事|granda evento\ngrava afero
大蒜|ajlo
大厅|halo\nsalono
大腿|femuro
大西洋|Atlantiko
大喜|granda ghojo
大写|majusklo
大写字母|cheflitero\nmajusklo
大猩猩|gorilo
大熊猫|pando
大学|universitato\ninstituto\nalta lernejo\nsupera lernejo
大烟|opio
大洋|oceano
大洋洲|oceanio
大样|presprovajho
大衣|surtuto\npalto
大意|ghenerala ideo\nchefaj punktoj\nesenco
大音阶|majhora skalo
大油|lardo
大元帅|generalisimo\nchefgeneralo
大约|chirkaw\nproksimume
大运河|Granda Kanalo
大主教|chefepiskopo
大资产阶级|egburgharo
大自然|naturo
呆子|stultulo\nidioto\nshtipo
戴|porti
带领|konduki\ngvidi
带路|vojgvidi
带孝|porti funebron
带鱼|rubandfisho
带子|rubando\nbendo\nzono
代办|afersharghito
代表|reprezentanto\ndelegito
代表大会|kongreso
代表团|delegacio
代词|pronomo
代价|prezo\nkosto
代理处|agentejo
代理人|peranto\nagento
代名词|pronomo
代数|algebro
代替|anstatawi
贷方|kredito
贷款|pruntedono
袋鼠|kanguruo
袋子|sako
逮捕|aresti
耽搁|prokrasti
担保|garantii
担架|brankardo
担心|maltrankvilighi
单纯|simpla\nnaiva\npura
单词|vorto
单打|unuopa ludo\nsolludo
单调|unutona\nmonotona
单独|unuopa\nsola
单杠|reko
单据|kvitanco\nfakturo
单人床|unuopa lito
单位|unuo
单项式|monomo
单一|simpla\nunusola
单字|vorto
胆敢|awdaci
胆结石|galshtono
胆量|kuragho
胆囊|gala veziko
胆怯|timi
胆小|timema
胆汁|galo
氮肥|nitrogena sterko
但是|sed\ntamen
淡季|ekstersezona
淡水鱼|dolchakva fisho
诞生|naskighi
弹道|trajektorio
弹道学|balistiko
弹簧|risorto
弹力|elasta
弹膛|shargujo
弹头|kuglo\npafajo
弹性|elasteco
弹药|municio
弹药筒|kartoco
弹奏|pluki
弹劾|shtatakuzi
蛋|ovo
蛋白质|proteino
蛋品|ovajho
当局|awtoritato\ninstanco
当量|ekvivalento
当权|en potenco
当然|kompreneble\nnature
当时|tiutempe\ntiam
当事人|koncernato
当心|atenti
当选|esti elektita
当政|en potenco
当中|en la mezo\nen la centro
挡泥板|kotshirmilo
党|partio
党参|dangsheno
党代表|partia reprezentanto
党费|partiana kotizo
党风|partia laborstilo
党籍|partianeco
党纪|partia disciplino
党委书记|sekretario de partia komitato
党委制|sistemo de partia komitato
党小组|partia grupo
党校|partia lernejo
党性|partieco
党羽|membro de kliko\npartiano
党员|partiano
党章|partia statuto
党证|partia karto
党支部|partia filio
党中央|la Centra Komitato de la Partio
党总支|ghenerala partia filio
党组|partia gvida grupo
荡妇|amajistino
档案|arkivo
刀|glavo\ntranchilo
刀鞘|glavingo
捣|pisti
捣乱|gheni\nmalordigi\nmaltrankviligi
倒|vershi\ninversigi\nrenversi
倒闭|bankroti
倒戈|sin turni al la malamlka flanko en milito
倒霉|ve\nmalfeliche
倒嗓|perdi vochon
倒塌|disfali
倒台|falo
倒退|regresi
倒下|fali
岛|insulo
岛屿|insuloj
祷告|preghi
导弹|telelkondukata misilo
导电|elektra kondukado
导管|kondukilo
导航|telekonduki\ntelegvidi
导火线|brulshnuro\nmecho
导轮|gvida pulio
导师|instruisto
导体|konduktanto
导线|konduktilo
导言|enkonduko
导演|reghisoro
导游|gvidisto\nchicherono
导致|rezultigi\nkawzi
到处|chie
到达|atingi
到底|finfine
到会|cheesti kunveno\npartopreni en kunveno
到来|veni\nalveni
稻草|pajlo
稻草人|chifonfiguro\nbirdotinligilo
稻田|rizejo\nrizkampo
稻子|rizo
悼词|funebra parolo
道德|moralo
道教|taoismo
道具|rekvizito
道理|vero
道路|vojo
道歉|pardonpeti\nesprimi bedawron
道谢|danki
盗匪|bandito\nrabisto
盗用|shtele uzi
得到|akiri\nricevi\ngajni
得过且过|lasi la cheferon drivi
得奖|gajni premion\nricevi premion
得胜|gajni venkon
得意|ekzatigho\nmemkontento
得意忘形|esti kontente ekzaltita\nkapturnighi pro sukceso
灯|lampo\nlanterno
灯光|lampolumo
灯笼|lanterno
灯谜|lanternaj enigmoj
灯塔|lumturo
灯头|lampingo
灯心|mecho
灯油|lampoleo\nkeroseno
灯罩|lampshirmilo
登基|surtronighi
登记|registri
登陆|alterighi\nsurterighi
登门|viziti
登山|montogrimpi
等待|atendi
等等|kaj tiel plu
等候|atendi
等级|grado\nklaso\nrango
等价|egala valoro
等于|egali
堤坝|barajho
低|malalta
低估|subtaksi
低级趣味|trivialajho
低廉|malkara
低频|malalta frekvenco
低烧|malalta febro
低声|malalta vocho
低头|mallevi kapon
低温|malalta temperaturo
滴|guto
滴答|tiktaki\nguti
敌对|antagonismo
敌国|malamika lando
敌军|malamikaj trupoj\nmalamika armeo
敌人|malamiko
敌视|malamika\nantagonisma
敌特|malamika spiono
笛子|bambua fluto
涤纶|poliestera fibro
抵偿|kompensi
抵达|atingi\nalveni
抵抗|rezisti\nbatali kontraw
抵赖|malkonfesi
抵押|hipoteki
抵御|rezisti
抵制|bojkoti
底|fundo
底版|negativo\nfotografia plato
底层|teretagho
底肥|basa sterko
底稿|manuskripto
底盘|chasio
底片|negativ\nfotografia plato
底细|detalajho
底子|bazo\nfundamento
地|grundo\ntero
地板|planko
地表|tersurfaco
地层|stratumo
地产|bieno
地磁|teromagnetismo
地带|zono
地道|tunelo\ngalerio\nsubtera koridoro
地点|loko
地段|sektoro
地方|loko
地方官|prefekto
地方主义|regionismo
地瓜|batato
地基|konstrufosajho\nbazo\nfundamento
地角|kabo\nterkapo
地窖|kelo
地壳|terkrusto
地牢|kelkarcero
地雷|mino
地理|geografio
地理学|geografio
地利|topografia avantagho
地沥青|terpecho\nasfalto
地面|tersurfaco
地皮|terpeco
地痞|loka kanajlo
地平线|horizonto
地勤|grunda servo
地球|tero\nterglobo
地球物理学|geofiziko
地区|regiono\ndistrikto
地热|geotermo
地毯|tapisho
地铁|subtera fervojo\nmetroo
地图|mapo\nkarto\ngeografia karto
地委|subprovinca partia komitato
地位|pozicio
地峡|istmo\nterkolo
地下|subtera
地下室|keletagho\nsubteretago
地形|topografio\ntereno
地形图|topografia mapo
地狱|infero
地震|terskuo\ntertremo\nsismo
地址|adreso
地中海|Mediteraneo
地主|bienulo
地主阶级|bienularo\nbienula klaso
地租|terrento
第—|unua
第二次世界大战|la Dua Mondmilito
第二国际|la Dua Internacio
第三国际|la Tria Internacio
第三世界|tria mondo
第一次世界大战|la Unua Mondmilito
第一国际|la Unua Internacio
帝国|imperio
帝国主义|imperiismo
弟弟|frato\nplijuna frato
弟子|dischiplo
递交|prezenti
缔交|starigi diplomatiajn rilatojn
缔造|fondi
颠倒|inversigi\nrenversi
颠倒是非|inversigo de justeco kaj maljusteco
颠覆|renversi
颠茄|beladono
碘酒|joda tinkturo
点|punkto
点火|fajrigi\nbruligi
点名|kontrolvoki
点燃|flamigi\nekbruligi
点头|kapjesi\nkapsigni\nbalanci la kapon
点心|kuko
点缀|ornami
典当|lombardi
典范|ekzemplo\nmodelo
典礼|ceremonio\ncelebro\nsoleno
典雅|eleganta
垫子|kuseno
电|elektro
电棒|poshlampo
电报|telegramo
电表|elektrokomputilo
电冰箱|glacishranko\nfridujo
电场|elektra kampo
电唱机|gramofono
电车|tramo\ntrolebuso
电池|pilo
电磁学|elektromagnetismo
电灯|elektra lampo
电动机|elektra motoro
电镀|galvanizi
电度表|elektrokomputilo
电工|elektristo
电功率|elektropovo
电焊|elektra veldo
电化学|elektrokemio
电话|telefono
电话号码|telefonnumero
电话机|telefono
电话局|telefonoficejo
电击|fulmobati\nfulmofrapi
电机|elektra mashino\nelektra motoro
电机车|elektra lokomotivo
